Plate,Time,Plate_replicate,Well,Well_replicate,Type,Abs
P_1032,15,D,G3,A,Unknown,1.8554
P_1032,15,D,G4,A,Unknown,2.0288
P_1032,15,D,G5,A,Unknown,2.5831
P_1032,15,D,G6,A,Positive,2.27472
P_1032,15,D,H1,A,Unknown,2.8577
P_1032,15,D,H2,A,Unknown,0.7838
P_1032,15,D,H3,A,Unknown,2.6422
P_1032,15,D,H4,A,Unknown,1.6512
P_1032,15,D,H5,A,Unknown,2.5111
P_1032,15,D,H6,A,Positive,2.262935
P_1032,15,D,A7,B,Unknown,2.0006
P_1032,15,D,A8,B,Unknown,2.6401
P_1032,15,D,A9,B,Unknown,2.3981
P_1032,15,D,A10,B,Unknown,2.9451
P_1032,15,D,A11,B,Unknown,1.1653
P_1032,15,D,A12,B,Blank,0.10672
P_1032,15,D,B7,B,Unknown,0.72926
P_1032,15,D,B8,B,Unknown,2.3147
P_1032,15,D,B9,B,Unknown,1.5752
P_1032,15,D,B10,B,Unknown,2.3166
P_1032,15,D,B11,B,Unknown,1.2494
P_1032,15,D,B12,B,Blank,0.066138
P_1032,15,D,C7,B,Unknown,0.63677
P_1032,15,D,C8,B,Unknown,2.2345
P_1032,15,D,C9,B,Unknown,2.0282
P_1032,15,D,C10,B,Unknown,1.9968
P_1032,15,D,C11,B,Unknown,1.7799
P_1032,15,D,C12,B,Blank,0.062757
P_1032,15,D,D7,B,Unknown,2.141
P_1032,15,D,D8,B,Unknown,1.9055
P_1032,15,D,D9,B,Unknown,2.3603
P_1032,15,D,D10,B,Unknown,1.9375
P_1032,15,D,D11,B,Unknown,0.35806
P_1032,15,D,D12,B,Blank,0.062788
P_1032,15,D,E7,B,Unknown,0.74041
P_1032,15,D,E8,B,Unknown,2.1486
P_1032,15,D,E9,B,Unknown,1.8789
P_1032,15,D,E10,B,Unknown,0.70932
P_1032,15,D,E11,B,Unknown,1.761
P_1032,15,D,E12,B,Blank,0.063039
P_1032,15,D,F7,B,Unknown,2.6736
P_1032,15,D,F8,B,Unknown,2.5007
P_1032,15,D,F9,B,Unknown,1.3192
P_1032,15,D,F10,B,Unknown,1.4805
P_1032,15,D,F11,B,Unknown,1.3438
P_1032,15,D,F12,B,Negative,0.10572
P_1032,15,D,G7,B,Unknown,2.8051
P_1032,15,D,G8,B,Unknown,1.6658
P_1032,15,D,G9,B,Unknown,1.8205
P_1032,15,D,G10,B,Unknown,1.6407
P_1032,15,D,G11,B,Unknown,2.4051
P_1032,15,D,G12,B,Positive,2.4334
P_1032,15,D,H7,B,Unknown,2.7144
P_1032,15,D,H8,B,Unknown,0.54084
P_1032,15,D,H9,B,Unknown,2.6172
P_1032,15,D,H10,B,Unknown,1.5581
P_1032,15,D,H11,B,Unknown,2.3008
P_1032,15,D,H12,B,Positive,2.27
P_1032,15,E,A1,A,Unknown,0.97791
P_1032,15,E,A2,A,Unknown,1.3472
P_1032,15,E,A3,A,Unknown,1.2761
P_1032,15,E,A4,A,Unknown,2.1776
P_1032,15,E,A5,A,Unknown,0.71346
P_1032,15,E,A6,A,Blank,0.064814
P_1032,15,E,B1,A,Unknown,0.54092
P_1032,15,E,B2,A,Unknown,1.5856
P_1032,15,E,B3,A,Unknown,0.82327
P_1032,15,E,B4,A,Unknown,1.644
P_1032,15,E,B5,A,Unknown,0.87448
P_1032,15,E,B6,A,Blank,0.062249
P_1032,15,E,C1,A,Unknown,0.50479
P_1032,15,E,C2,A,Unknown,1.6061
P_1032,15,E,C3,A,Unknown,1.2236
P_1032,15,E,C4,A,Unknown,1.5166
P_1032,15,E,C5,A,Unknown,1.3234
P_1032,15,E,C6,A,Blank,0.058154
P_1032,15,E,D1,A,Unknown,1.5964
P_1032,15,E,D2,A,Unknown,1.5334
P_1032,15,E,D3,A,Unknown,1.5184
P_1032,15,E,D4,A,Unknown,1.4434
P_1032,15,E,D5,A,Unknown,0.31736
P_1032,15,E,D6,A,Blank,0.072608
P_1032,15,E,E1,A,Unknown,0.49745
P_1032,15,E,E2,A,Unknown,1.6182
P_1032,15,E,E3,A,Unknown,1.1305
P_1032,15,E,E4,A,Unknown,0.54901
P_1032,15,E,E5,A,Unknown,1.229
P_1032,15,E,E6,A,Blank,0.060565
P_1032,15,E,F1,A,Unknown,2.0887
P_1032,15,E,F2,A,Unknown,2.048
P_1032,15,E,F3,A,Unknown,0.92436
P_1032,15,E,F4,A,Unknown,1.189
P_1032,15,E,F5,A,Unknown,0.96609
P_1032,15,E,F6,A,Negative,0.10377
P_1032,15,E,G1,A,Unknown,2.0775
P_1032,15,E,G2,A,Unknown,1.3109
P_1032,15,E,G3,A,Unknown,1.141
P_1032,15,E,G4,A,Unknown,1.2584
P_1032,15,E,G5,A,Unknown,1.6495
P_1032,15,E,G6,A,Positive,1.9218
P_1032,15,E,H1,A,Unknown,1.7473
P_1032,15,E,H2,A,Unknown,0.54849
P_1032,15,E,H3,A,Unknown,1.8667
P_1032,15,E,H4,A,Unknown,1.1511
P_1032,15,E,H5,A,Unknown,1.5409
P_1032,15,E,H6,A,Positive,1.9894
P_1032,15,E,A7,B,Unknown,0.71593
P_1032,15,E,A8,B,Unknown,1.3758
P_1032,15,E,A9,B,Unknown,1.2032
P_1032,15,E,A10,B,Unknown,2.0878
P_1032,15,E,A11,B,Unknown,0.79496
P_1032,15,E,A12,B,Blank,0.069554
P_1032,15,E,B7,B,Unknown,0.46855
P_1032,15,E,B8,B,Unknown,1.5665
P_1032,15,E,B9,B,Unknown,0.90665
P_1032,15,E,B10,B,Unknown,1.7729
P_1032,15,E,B11,B,Unknown,0.85528
P_1032,15,E,B12,B,Blank,0.069936
P_1032,15,E,C7,B,Unknown,0.4448
P_1032,15,E,C8,B,Unknown,1.4918
P_1032,15,E,C9,B,Unknown,1.1397
P_1032,15,E,C10,B,Unknown,1.5579
P_1032,15,E,C11,B,Unknown,1.2432
P_1032,15,E,C12,B,Blank,0.056757
P_1032,15,E,D7,B,Unknown,1.4624
P_1032,15,E,D8,B,Unknown,1.4112
P_1032,15,E,D9,B,Unknown,1.5919
P_1032,15,E,D10,B,Unknown,1.4022
P_1032,15,E,D11,B,Unknown,0.26153
P_1032,15,E,D12,B,Blank,0.056864
P_1032,15,E,E7,B,Unknown,0.38119
P_1032,15,E,E8,B,Unknown,1.4023
P_1032,15,E,E9,B,Unknown,1.124
P_1032,15,E,E10,B,Unknown,0.51344
P_1032,15,E,E11,B,Unknown,1.1238
P_1032,15,E,E12,B,Blank,0.054608
P_1032,15,E,F7,B,Unknown,1.9029
P_1032,15,E,F8,B,Unknown,1.7687
P_1032,15,E,F9,B,Unknown,0.87567
P_1032,15,E,F10,B,Unknown,1.1208
P_1032,15,E,F11,B,Unknown,0.9212
P_1032,15,E,F12,B,Negative,0.08772
P_1032,15,E,G7,B,Unknown,1.9896
P_1032,15,E,G8,B,Unknown,1.0724
P_1032,15,E,G9,B,Unknown,1.0383
P_1032,15,E,G10,B,Unknown,1.1673
P_1032,15,E,G11,B,Unknown,1.65
P_1032,15,E,G12,B,Positive,1.93
P_1032,15,E,H7,B,Unknown,1.9194
P_1032,15,E,H8,B,Unknown,0.40412
P_1032,15,E,H9,B,Unknown,1.5477
P_1032,15,E,H10,B,Unknown,0.9834
P_1032,15,E,H11,B,Unknown,1.4754
P_1032,15,E,H12,B,Positive,1.904
P_12345,15,A,A1,A,Unknown,2.7905
P_12345,15,A,A2,A,Unknown,2.4322
P_12345,15,A,A3,A,Unknown,1.8554
P_12345,15,A,A4,A,Unknown,0.9156
P_12345,15,A,A5,A,Unknown,1.4959
P_12345,15,A,A6,A,Blank,0.071902
P_12345,15,A,A7,B,Unknown,2.8324
P_12345,15,A,A8,B,Unknown,2.4492
P_12345,15,A,A9,B,Unknown,1.7691
P_12345,15,A,A10,B,Unknown,1.0131
P_12345,15,A,A11,B,Unknown,1.6186
P_12345,15,A,A12,A,Blank,0.073152
P_12345,15,A,B6,A,Blank,0.059921
P_12345,15,A,C6,A,Blank,0.061282
P_12345,15,A,D6,A,Blank,0.058905
P_12345,15,A,E6,A,Blank,0.08033
P_12345,15,A,F6,A,Negative,0.10029
P_12345,15,A,G6,A,Positive,2.7205
P_12345,15,A,H6,A,Positive,2.7345
P_12345,15,A,B12,B,Blank,0.060335
P_12345,15,A,C12,B,Blank,0.060415
P_12345,15,A,D12,B,Blank,0.068063
P_12345,15,A,E12,B,Blank,0.059992
P_12345,15,A,F12,B,Negative,0.11836
P_12345,15,A,G12,B,Positive,2.6625
P_12345,15,A,H12,B,Positive,2.8259
P_12345,15,B,A1,A,Unknown,2.5562
P_12345,15,B,A2,A,Unknown,2.1801
P_12345,15,B,A3,A,Unknown,1.5794
P_12345,15,B,A4,A,Unknown,0.69311
P_12345,15,B,A5,A,Unknown,1.1663
P_12345,15,B,A6,A,Blank,0.065816
P_12345,15,B,A7,B,Unknown,2.4073
P_12345,15,B,A8,B,Unknown,1.9422
P_12345,15,B,A9,B,Unknown,1.4385
P_12345,15,B,A10,B,Unknown,0.80559
P_12345,15,B,A11,B,Unknown,1.0953
P_12345,15,B,A12,A,Blank,0.083304
