Plate_replicate,Well_replicate,Type,Outcome,Well,Abs
E,A,Positive,Not detected,G6/G12,2.4239
E,A,Positive,Not detected,H6/H12,2.6208
E,B,Unknown,Not detected,A1/A7,0.14297
E,B,Unknown,Not detected,B1/B7,0.10532
E,B,Unknown,Not detected,C1/C7,0.11683
E,B,Unknown,Not detected,D1/D7,0.076394
E,B,Unknown,Not detected,E1/E7,0.10067
E,B,Unknown,Not detected,F1/F7,0.074487
E,B,Unknown,Not detected,G1/G7,0.10718
E,B,Unknown,Not detected,H1/H7,0.16548
E,B,Unknown,Not detected,A2/A8,0.18053
E,B,Unknown,Not detected,B2/B8,0.075387
E,B,Unknown,Not detected,C2/C8,0.073595
E,B,Unknown,Not detected,D2/D8,0.095075
E,B,Unknown,Not detected,E2/E8,0.39827
E,B,Unknown,Not detected,F2/F8,0.099877
E,B,Unknown,Not detected,G2/G8,0.074587
E,B,Unknown,Not detected,H2/H8,0.11527
E,B,Unknown,Not detected,A3/A9,0.098328
E,B,Unknown,Not detected,B3/B8,0.079187
E,B,Unknown,Not detected,C3/C9,0.095515
E,B,Unknown,Not detected,D3/D9,0.086061
E,B,Unknown,Not detected,E3/E9,0.081296
E,B,Unknown,Not detected,F3/F9,0.073149
E,B,Unknown,Not detected,G3/G9,0.066392
E,B,Unknown,Not detected,H3/H9,0.10451
E,B,Unknown,Not detected,A4/A10,0.092623
E,B,Unknown,Not detected,B4/B10,0.076313
E,B,Unknown,Not detected,C4/C10,0.17655
E,B,Unknown,Not detected,D4/D10,0.086962
E,B,Unknown,Not detected,E4/E10,0.10403
E,B,Unknown,Not detected,F4/F10,0.13221
E,B,Unknown,Not detected,G4/G10,0.072386
E,B,Unknown,Not detected,H4/H10,0.1175
E,B,Unknown,Not detected,A5/A11,0.12281
E,B,Unknown,Not detected,B5/B11,0.071316
E,B,Unknown,Not detected,C5/C11,0.092873
E,B,Unknown,Not detected,D5/D11,0.071633
E,B,Unknown,Not detected,E5/E11,0.069485
E,B,Unknown,Not detected,F5/F11,0.076583
E,B,Unknown,Not detected,G5/G11,0.080176
E,B,Unknown,Not detected,H5/H11,0.10686
E,B,Blank,Not detected,A6/A12,0.068438
E,B,Blank,Not detected,B6/B12,0.065171
E,B,Blank,Not detected,C6/C12,0.060474
E,B,Blank,Not detected,D6/D12,0.059707
E,B,Blank,Not detected,E6/E12,0.1082
E,B,Negative,Not detected,F6/F12,0.10166
E,B,Positive,Not detected,G6/G12,2.3664
E,B,Positive,Not detected,H6/H12,2.4431
